Member_number,Date,itemDescription
1808,21-07-2015,Aveeno $1/1 produc
2552,5/1/2015,Axe Body Spray Product
2300,19-09-2015,Axe Hair Care Product
1187,12/12/2015,Ban $1/1 roll-on antiperspirant deodorant 
3037,1/2/2015,Barabsol $.50/1 10oz shaving cream
4941,14-02-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
4501,8/5/2015,Barilla $1/2 Sauce
3803,23-12-2015,Bausch+Lomb $1/1
2762,20-03-2015,Beefsteak 18 oz. bread 
4119,12/2/2015,Best Foods $1/1 mayonnaise squeeze
1340,24-02-2015,Axe Hair Care Product
2193,14-04-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
1997,21-07-2015,Blue Diamond $1/1 4oz+ almonds can or bag
4546,3/9/2015,Bounty/Charmin $.50/1 
4736,21-07-2015,Brita $4/1 pitcher filter
1959,30-03-2015,Cadbury/Reese's $1/3 Eggs multipacks
1974,3/5/2015,Cerave Baby Product $4/1
2421,2/9/2015,Cesar dry dog food $2/1 TARGET
1513,3/8/2015,Chobani $1/3 5.3 oz Flip Greek Yogurt
1905,7/7/2015,Claritin $2/1 children's
2810,8/9/2015,Clorox/Pine-Sol $1.50/2 products 
2867,12/11/2015,Coppertone lotion $3/1
3962,18-09-2015,Covergirl $1/1 product accessories
1088,30-11-2015,Danimials $1/ Two Smoothie 6 packs
4976,17-07-2015,Dark and Lovely $2/1 haircolor or relaxer
4056,12/6/2015,Degree Women $2/1 dry spray antiperspirant product
3611,13-02-2015,Dinty Moore $1/2 
1420,14-01-2015,Dove Clinical Protection Deodorant Product
4286,8/3/2015,Dunkin Donuts $1/2 creamers
4918,27-01-2015,Farm Rich Bakery item 9.5 oz
4783,22-10-2015,Fiber One $.50/2 chewy bars
3709,26-10-2015,Indiana Kitchen Bacon 
4289,8/10/2015,Irish Spring $1.00/1 bar soap multipack 6ct or larger 
1559,3/10/2015,L'Oreal $2/1 skincare product ets
2900,11/4/2015,Megared $1/1 product
1905,21-02-2015,"Maybelline New York $2/1 brow, shadow or liner product "
3527,29-09-2015,Mitchum antiperspirant/deodorant prod
1495,9/1/2015,L'Oreal $2/1 skincare product ets
3558,3/4/2015,Farm Rich Bakery item 9.5 oz
3128,20-04-2015,Irish Spring $1.00/1 bar soap multipack 6ct or larger 
1863,4/8/2015,Coppertone lotion $3/1
3841,19-07-2015,Dunkin Donuts $1/2 creamers
3903,6/10/2015,Farm Rich Bakery item 9.5 oz
2658,16-10-2015,Coppertone lotion $3/1
4272,6/6/2015,Blue Diamond $1/1 4oz+ almonds can or bag
1120,26-09-2015,Barabsol $.50/1 10oz shaving cream
2676,15-08-2015,Axe Hair Care Product
1697,21-05-2015,Barilla $1/2 Sauce
2507,25-08-2015,Best Foods $1/1 mayonnaise squeeze
4620,11/3/2015,Best Foods $1/1 mayonnaise squeeze
3365,1/2/2015,Dinty Moore $1/2 
2978,5/6/2015,Megared $1/1 product
2910,28-07-2015,Dinty Moore $1/2 
1061,5/9/2015,Dove Clinical Protection Deodorant Product
3276,3/4/2015,Dunkin Donuts $1/2 creamers
1326,19-06-2015,Farm Rich Bakery item 9.5 oz
3023,28-07-2015,Fiber One $.50/2 chewy bars
2185,11/10/2015,Indiana Kitchen Bacon 
3552,16-06-2015,Irish Spring $1.00/1 bar soap multipack 6ct or larger 
